
how long have it be since you review the objective of you benefit and service program,how bn:00106124a have it bn:00083181v since you bn:00092618v the bn:00002179n of you bn:00009904n and bn:00070654n bn:00064646n
have you permit it to become a giveaway program rather than one that have the goal of improved employee morale and consequently increased productivity,have you bn:00082536v it to bn:00083294v a bn:00040564n bn:00064646n bn:00115972r than one that bn:00088078v the bn:00030721n of bn:00104710a bn:00030618n bn:00055852n and bn:00114106r bn:00104887a bn:00064598n
what effort do you make to assess result of you program,what bn:00007011n do you bn:00087106v to bn:00082720v bn:00034520n of you bn:00064646n
do you measure its relation to reduced absenteeism turnover accident and grievance and to improved quality and output,do you bn:00082720v its relation to bn:00101030a bn:00000435n bn:00030623n bn:00000690n and bn:00041786n and to bn:00104711a bn:00065538n and bn:00059788n
have you set specific objective for you employee publication,have you bn:00086468v bn:00111001a bn:00002179n for you bn:00030618n bn:00065106n
be it reach these goal,be it bn:00088789v these bn:00030721n
be it larger or fancy than you really need,bn:00083181v it bn:00098361a or bn:00102768a than you bn:00115504r bn:00091028v
be you use the most economical printing method paper etc,be you bn:00082705v the bn:00116290r bn:00102003a bn:00064452n bn:00054625n bn:00060464n etc
be there other cheap communication technique that could be substitute,bn:00083184v there bn:00108011a bn:00099557a bn:00021221n bn:00076341n that could be bn:00087802v
have you attitude toward employee benefit encourage a excess of free c government `` work in you plant,have you bn:00007047n toward bn:00030618n bn:00009904n bn:00082397v a bn:00032121n of bn:00100152a `` bn:00007299n `` bn:00081568n in you bn:00046568n
be you purchasing_agent offer too_much free buying service for employee,be you bn:00065270n bn:00091135v bn:00116511r bn:00103299a bn:00014334n bn:00070653n for bn:00030618n
when improvement be recommend in working condition such as lighting restroom eating facility air-conditioning do you try to set a measure of they effectiveness on productivity,when bn:00046191n be bn:00082418v in bn:00107839a bn:00021644n such as bn:00051154n bn:00020920n bn:00029546n bn:00032645n air-conditioning do you bn:00082844v to bn:00086468v a measure of they bn:00029876n on bn:00064598n
